cpart	regn	line	01.01.2012	01.02.2012	01.03.2012	01.04.2012	01.05.2012	01.06.2012	01.07.2012	01.08.2012	01.09.2012	01.10.2012	01.11.2012	01.12.2012	01.01.2013	01.02.2013	01.03.2013	01.04.2013	01.05.2013	01.06.2013	01.07.2013	01.08.2013	01.09.2013	01.10.2013	01.11.2013	01.12.2013	01.01.2014	01.02.2014	01.03.2014	01.04.2014	01.05.2014	01.06.2014	01.07.2014	01.08.2014	01.09.2014	01.10.2014	01.11.2014	01.12.2014	01.01.2015	01.02.2015
iv	1942	100000	28698810	29367745	25342920	28339505	28781631	35774285	39608907	39479930	39569625	40012453	43971314	41725143	40364591	43072027	37193161	44949076	41963017	45462398	45300499	50095941	49578797	45942303	48427967	46748804	43836824	54137485	46802980	48852478	49905031	44466079	47245056	56088945	50416706	52335758	58739059	71922220	65953725	78135393
iv	1942	101000	486413	712415	708407	850902	825417	782874	825426	773273	824081	880798	947459	743081	750267	748154	692864	641971	725309	779571	724609	688360	626839	772114	665204	737856	696448	777949	729820	2558455	2505417	1185258	1122629	1469726	1253287	1312167	966615	1568920	2932591	3554873
iv	1942	101100	486413	712415	708407	850902	825417	782874	825426	773273	824081	880798	947459	743081	750267	748154	692864	641971	725309	779571	724609	688360	626839	772114	665204	737856	696448	777949	729820	2558455	2505417	1185258	1122629	1469726	1253287	1312167	966615	1568920	2932591	3554873
iv	1942	101900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
iv	1942	102000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	735426	1171168	0
iv	1942	103000	3318254	2787864	749801	1012873	1097062	703584	842065	1528055	422854	712751	425416	652462	554035	831479	919201	848965	1220106	3918328	1315868	1239301	2531326	1584932	1560522	1416705	2243968	9497217	2117114	3477045	2050315	1653126	1350614	2655574	2401148	2109350	3302330	8487599	1961107	2791028
iv	1942	103100	1192045	1106012	173059	99608	112344	110620	120500	418702	113237	99814	102080	101087	137073	70941	210042	98693	150687	295957	130007	132652	135510	146472	161819	107418	173741	178138	226239	165734	171642	146072	103302	109830	139581	150217	175928	558013	555504	443338
iv	1942	103200	2126209	1681852	576742	913265	984718	592964	721565	1109353	309617	612937	323336	551375	416962	760538	709159	750272	1069419	3622371	1185861	1106649	2395816	1438460	1398703	1309287	2070227	9319079	1890875	3311311	1878673	1507054	1247312	2545744	2261567	1959133	3126402	7929586	1405603	2347690
iv	1942	104000	540012	17122	28209	1811737	2552768	2528270	2418355	2865085	3134459	3059878	4638684	4583148	4573800	4321891	3871867	3833079	3932389	3945120	4127711	4180111	4218827	4184013	4223208	4331370	4310560	4610124	4729970	4701837	4745402	4530813	4392534	2406514	2443480	2509928	2745265	3085573	3807584	4377552
iv	1942	104100	173290	17122	28209	16812	769251	682918	533632	511772	826051	794223	719497	712966	701414	422090	17443	17856	18101	18447	33006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	373719	452906
iv	1942	104200	0	0	0	1794925	1783517	1845352	1884723	1803980	1848326	1823405	3919187	3870182	3872386	3899801	3854424	3815223	3914288	3926673	4094705	4180111	4218827	4184013	4223208	4331370	4310560	4610124	4729970	4701837	4745402	4530813	4392534	2406514	2443480	2509928	2745265	3085573	3433865	3924646
iv	1942	104300	366722	0	0	0	0	0	0	549333	460082	442250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
iv	1942	104400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
iv	1942	105000	610	585	570	573	570	592	605	579	593	585	596	589	589	593	586	583	598	600	625	638	644	639	645	661	658	704	722	718	725	692	671	701	712	731	800	0	0	0
iv	1942	106000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
iv	1942	107000	24092887	25496392	23603746	24331667	24028296	31396321	35212058	34010605	34849742	35022929	37595353	35237367	34076652	36705952	31143564	38915314	35364165	36095429	38411899	43150801	41396166	38620440	38626953	36860640	33226512	35743727	35703156	34627788	37073708	33781593	37128429	46022125	40512723	42927197	48219466	53937962	51745177	62063220
iv	1942	107100	24092887	25496392	23603746	24331667	24028296	31396321	35212058	34010605	34849742	35022929	37595353	35237367	34070000	36705952	31143564	38915314	35364165	36095429	38411899	43150801	41396166	38620440	38626953	36860640	33226512	35743727	35703156	34627788	37073708	33781593	37128429	46022125	40512723	42927197	48219466	53937962	51745177	61374544
iv	1942	107110	18972925	19523006	18210049	19201801	18257000	20213101	21688370	21694828	21982230	22020940	22728538	22713552	21731238	21563472	20426971	20196559	22388884	23525432	24341406	25379855	25750776	25228828	24445206	25731081	18189451	19378576	18618208	19935729	19079910	17655383	16444339	24203221	24616061	25884862	28868906	32012323	35178351	42302586
iv	1942	107120	733785	707008	663754	664257	635128	685966	689681	671754	665195	623299	615995	594269	575519	536284	537156	529860	517673	505323	520704	503818	505556	487620	447955	459932	479489	456549	447336	412337	405944	392375	371295	382540	380834	385855	406075	442456	497475	606552
iv	1942	107130	1178147	2241615	1500514	1197277	1867717	1394772	3789728	2944600	3685583	4368556	6242030	4259404	4393723	8969847	5348533	13876089	7316333	6915878	8234132	11937824	9794020	7734930	8618255	5391850	9735660	7209493	7551150	4977227	7593285	5866194	10773537	10738860	4041900	3919086	4311878	4890526	2458524	1893939
iv	1942	107140	3208030	3024763	3229429	3268332	3268451	9102482	9044279	8699423	8516734	8010134	8008790	7670142	7369520	5636349	4830904	4312806	5141275	5148796	5315657	5329304	5345814	5169062	5115537	5277777	4821912	8699109	9086462	9302495	9994569	9867641	9539258	10697504	11473928	12737394	14632607	16592657	13610827	16571467
iv	1942	107900	0	0	0	0	0	0	0	0	0	0	0	0	6652	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	688676
iv	1942	108000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
iv	1942	109000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
iv	1942	109100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
iv	1942	109900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
iv	1942	198000	0	613	0	0	0	0	678	3001	1813	1516	818	64	651	0	293	0	0	0	0	0	0	0	0	0	1889	0	0	11272	0	0	0	35494	363725	0	0	11031	3051	10705
