REGN	PLAN	NUM_SC	A_P	VR	VV	VITG	ORA	OVA	OITGA	ORP	OVP	OITGP	IR	IV	IITG	DT	PRIZ
1.0	À	50105	1	0.0	0.0	0.0	5096911.0	0.0	5096911.0	5096911.0	0.0	5096911.0	0.0	0.0	0.0	2013-01-01	1.0
1.0	À	50106	1	0.0	0.0	0.0	46273897.0	0.0	46273897.0	45796600.0	0.0	45796600.0	477297.0	0.0	477297.0	2013-01-01	1.0
1.0	À	50107	1	536662.0	0.0	536662.0	14755059.0	0.0	14755059.0	13269714.0	0.0	13269714.0	2022007.0	0.0	2022007.0	2013-01-01	1.0
1.0	À	50110	1	0.0	0.0	0.0	492852.0	0.0	492852.0	492852.0	0.0	492852.0	0.0	0.0	0.0	2013-01-01	1.0
1.0	À	50118	1	214237.0	0.0	214237.0	4292021.0	0.0	4292021.0	4506258.0	0.0	4506258.0	0.0	0.0	0.0	2013-01-01	1.0
1.0	À	50121	1	4843.0	0.0	4843.0	38567.0	0.0	38567.0	15853.0	0.0	15853.0	27557.0	0.0	27557.0	2013-01-01	1.0
1.0	À	50205	1	9132865.0	0.0	9132865.0	142954994.0	0.0	142954994.0	140172888.0	0.0	140172888.0	11914971.0	0.0	11914971.0	2013-01-01	1.0
1.0	À	50206	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2013-01-01	1.0
1.0	À	50207	1	4514110.0	548503.0	5062613.0	26868584.0	15964.0	26884548.0	26832384.0	26535.0	26858919.0	4550310.0	537932.0	5088242.0	2013-01-01	1.0
1.0	À	50208	1	3797077.0	0.0	3797077.0	8387315.0	0.0	8387315.0	7334314.0	0.0	7334314.0	4850078.0	0.0	4850078.0	2013-01-01	1.0
1.0	À	50210	1	884527.0	1300529.0	2185056.0	4816.0	44169.0	48985.0	109.0	69698.0	69807.0	889234.0	1275000.0	2164234.0	2013-01-01	1.0
1.0	À	50218	1	29527172.0	0.0	29527172.0	172692943.0	0.0	172692943.0	175835143.0	0.0	175835143.0	26384972.0	0.0	26384972.0	2013-01-01	1.0
1.0	À	50221	1	368321.0	0.0	368321.0	1427899.0	0.0	1427899.0	1231823.0	0.0	1231823.0	564397.0	0.0	564397.0	2013-01-01	1.0
1.0	À	50305	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2013-01-01	1.0
1.0	À	50308	1	309779.0	0.0	309779.0	2026.0	0.0	2026.0	0.0	0.0	0.0	311805.0	0.0	311805.0	2013-01-01	1.0
1.0	À	50505	1	93055.0	0.0	93055.0	0.0	0.0	0.0	46.0	0.0	46.0	93009.0	0.0	93009.0	2013-01-01	1.0
1.0	À	50705	1	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	2013-01-01	1.0
1.0	À	50706	1	4699258.0	0.0	4699258.0	0.0	0.0	0.0	0.0	0.0	0.0	4699258.0	0.0	4699258.0	2013-01-01	1.0
1.0	À	50721	1	3048063.0	0.0	3048063.0	0.0	0.0	0.0	0.0	0.0	0.0	3048063.0	0.0	3048063.0	2013-01-01	1.0
1.0	À	51508	1	59328.0	0.0	59328.0	0.0	0.0	0.0	0.0	0.0	0.0	59328.0	0.0	59328.0	2013-01-01	1.0
1.0	À	52601	1	14575877.0	0.0	14575877.0	9180632.0	0.0	9180632.0	6803835.0	0.0	6803835.0	16952674.0	0.0	16952674.0	2013-01-01	1.0
1.0	À	60101	1	846000.0	0.0	846000.0	0.0	0.0	0.0	0.0	0.0	0.0	846000.0	0.0	846000.0	2013-01-01	1.0
1.0	À	60102	1	64.0	0.0	64.0	0.0	0.0	0.0	0.0	0.0	0.0	64.0	0.0	64.0	2013-01-01	1.0
1.0	À	60202	1	64000.0	0.0	64000.0	0.0	0.0	0.0	0.0	0.0	0.0	64000.0	0.0	64000.0	2013-01-01	1.0
1.0	À	60204	1	0.0	2827.0	2827.0	0.0	104.0	104.0	0.0	102.0	102.0	0.0	2829.0	2829.0	2013-01-01	1.0
1.0	À	60302	1	15523.0	13.0	15536.0	140027.0	0.0	140027.0	133085.0	1.0	133086.0	22465.0	12.0	22477.0	2013-01-01	1.0
1.0	À	60306	1	277.0	0.0	277.0	564805.0	0.0	564805.0	564989.0	0.0	564989.0	93.0	0.0	93.0	2013-01-01	1.0
1.0	À	60308	1	4480.0	96.0	4576.0	9445.0	11.0	9456.0	9206.0	78.0	9284.0	4719.0	29.0	4748.0	2013-01-01	1.0
